City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Balikpapan,ID,77.99,scattered clouds,-1.2675,116.8289,Swiss-Belhotel Balikpapan
249,Santa Cruz Del Norte,CU,83.14,scattered clouds,23.1539,-81.9236,Rioger Art
250,Makasar,ID,77.05,few clouds,-5.14,119.4221,Aryaduta Makassar
251,Viedma,AR,65.19,overcast clouds,-40.8135,-62.9967,Hotel Cristal
253,Coahuayana,MX,88.0,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
254,Champerico,GT,93.74,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
257,Butterworth,MY,82.44,moderate rain,5.3991,100.3638,Cititel Penang
258,Mahebourg,MU,75.49,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
259,Kavaratti,IN,85.12,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
260,Mahina,PF,83.97,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
263,Kampot,KH,82.45,overcast clouds,10.6167,104.1833,Two Moons Hotel
264,Margherita,IN,74.98,scattered clouds,27.2833,95.6833,Dehing Guest House
265,Magaria,NE,93.34,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
268,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
269,Veraval,IN,81.36,clear sky,20.9,70.3667,Lords Inn Somnath
272,Aswan,EG,87.1,clear sky,24.0934,32.907,Nuba Nile
273,Nishihara,JP,75.25,overcast clouds,26.1842,127.7558,Minshuku Agaihama
274,Galesong,ID,77.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
275,Nong Khai,TH,76.28,few clouds,17.9167,103.0833,จารุวรรณ วงชัยยา
277,Sabang,ID,82.49,overcast clouds,5.8933,95.3214,Hotel Citra
279,Tanete,ID,75.42,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
281,Inhambane,MZ,71.56,light rain,-23.865,35.3833,Oceano
282,Komsomolskiy,UZ,70.52,clear sky,40.4272,71.7189,Ikathouse
283,Chimbote,PE,67.77,overcast clouds,-9.0853,-78.5783,Hotel Briliá
285,Sao Marcos,BR,69.75,clear sky,-28.9711,-51.0681,Hotel São Marcos
286,Metro,ID,77.09,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
288,Puerto Leguizamo,CO,80.22,overcast clouds,-0.1934,-74.7819,la casona de juancho
289,Norwalk,US,73.51,broken clouds,33.9022,-118.0817,DoubleTree by Hilton Hotel Los Angeles - Norwalk
290,Naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
291,Longyan,CN,66.43,overcast clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
293,Colares,PT,71.28,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
