City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Moyale,KE,2022-05-06 04:28:57,3.5167,39.0584,66.61,89,16,3.29
210,Provideniya,RU,2022-05-06 04:19:16,64.3833,-173.3,30.36,80,0,0.0
211,Houma,US,2022-05-06 04:25:44,29.5958,-90.7195,79.0,84,75,9.22
212,Yellowknife,CA,2022-05-06 04:26:31,62.456,-114.3525,48.72,49,75,0.0
213,Amapa,BR,2022-05-06 04:28:58,1.0,-52.0,71.58,99,97,2.04
214,Issoire,FR,2022-05-06 04:28:58,45.55,3.25,47.46,96,95,4.94
215,Rohru,IN,2022-05-06 04:28:59,31.2167,77.75,69.85,45,3,5.12
216,Talnakh,RU,2022-05-06 04:28:59,69.4865,88.3972,15.21,86,99,15.3
217,Cayenne,GF,2022-05-06 04:20:35,4.9333,-52.3333,78.1,1,75,3.44
218,Alofi,NU,2022-05-06 04:29:00,-19.0595,-169.9187,82.29,69,19,6.91
219,Luderitz,NA,2022-05-06 04:29:01,-26.6481,15.1594,57.6,89,0,9.93
220,Srednekolymsk,RU,2022-05-06 04:29:01,67.45,153.6833,34.38,100,100,5.19
221,Busca,IT,2022-05-06 04:29:02,44.5181,7.4743,50.65,100,100,8.05
222,Neuquen,AR,2022-05-06 04:27:45,-38.9516,-68.0591,46.29,76,0,4.61
223,Hambantota,LK,2022-05-06 04:29:02,6.1241,81.1185,88.14,79,20,11.5
224,Kupang,ID,2022-05-06 04:29:03,-10.1667,123.5833,88.27,58,18,8.34
225,San Policarpo,PH,2022-05-06 04:19:17,12.1791,125.5072,84.74,73,59,10.27
226,Cristalina,BR,2022-05-06 04:29:04,-16.7686,-47.6136,61.18,90,53,3.27
227,Mahebourg,MU,2022-05-06 04:29:04,-20.4081,57.7,77.29,83,75,19.57
228,Kosh-Agach,RU,2022-05-06 04:29:05,50.0,88.6667,51.42,45,100,1.66
229,Namikupa,TZ,2022-05-06 04:30:05,-10.8333,39.6,71.78,86,5,4.0
230,Komarikhinskiy,RU,2022-05-06 04:30:06,58.0979,57.1163,38.97,45,4,12.37
231,Bartica,GY,2022-05-06 04:30:10,6.4,-58.6167,77.32,99,93,1.3
232,Bereda,ES,2022-05-06 04:30:11,43.2686,-7.5406,44.29,100,52,3.58
233,Lavrentiya,RU,2022-05-06 04:30:11,65.5833,-171.0,23.97,85,15,2.04
234,Nome,US,2022-05-06 04:30:12,64.5011,-165.4064,40.15,69,0,8.05
235,Coquimbo,CL,2022-05-06 04:30:13,-29.9533,-71.3436,58.01,86,100,2.37
236,Dingle,PH,2022-05-06 04:30:14,10.9995,122.6711,91.0,54,90,12.71
237,Lope De Vega,PH,2022-05-06 04:30:14,12.2983,124.6238,92.71,50,60,5.14
238,Roma,US,2022-05-06 04:30:15,43.2128,-75.4557,50.72,77,0,3.44
239,Kattivakkam,IN,2022-05-06 04:30:16,13.2167,80.3167,91.49,79,69,10.6
240,Henties Bay,NA,2022-05-06 04:30:17,-22.116,14.2845,62.96,72,0,7.45
241,Gizo,SB,2022-05-06 04:30:17,-8.103,156.8419,84.76,71,25,5.1
