City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
141,El Alto,PE,-4.2714,-81.2147,74.86,66,31,23.42,scattered clouds,0,0
142,Katsuura,JP,35.1333,140.3,61.81,68,100,12.15,overcast clouds,0,0
143,Ponta Do Sol,PT,32.6667,-17.1,65.01,78,70,6.42,broken clouds,0,0
144,Stryn,NO,61.9045,6.7226,50.72,78,100,7.85,overcast clouds,0,0
145,Leningradskiy,RU,69.3833,178.4167,24.4,92,100,6.53,overcast clouds,0,0
146,Esperance,AU,-33.8667,121.9,55.24,47,1,8.79,clear sky,0,0
147,Halden,NO,59.1226,11.3871,46.83,58,89,4.03,overcast clouds,0,0
148,Belaya Gora,RU,68.5333,146.4167,24.62,89,70,6.73,broken clouds,0,0
149,Steubenville,US,40.3698,-80.634,67.44,26,0,8.05,clear sky,0,0
150,Dunedin,NZ,-45.8742,170.5036,51.8,91,99,1.01,overcast clouds,0,0
151,Hofn,IS,64.2539,-15.2082,46.31,99,100,4.21,light rain,0,0
152,Villa Rica,US,33.7321,-84.9191,71.38,76,38,5.86,scattered clouds,0,0
153,Olafsvik,IS,64.8945,-23.7142,45.14,88,98,17.67,light rain,0,0
154,Norman Wells,CA,65.282,-126.8329,42.84,49,75,8.05,broken clouds,0,0
155,Aksarka,RU,66.5606,67.7975,36.18,100,100,9.75,overcast clouds,0,0
156,Adrar,MR,20.5022,-10.0711,91.35,12,48,7.16,scattered clouds,0,0
157,Quatre Cocos,MU,-20.2078,57.7625,75.31,87,26,8.97,scattered clouds,0,0
158,Baryatino,RU,54.3121,34.521,47.28,92,100,8.03,overcast clouds,0,0
159,Capreol,CA,46.706,-80.9225,67.91,19,0,5.01,clear sky,0,0
160,Gat,IL,31.61,34.7642,68.4,51,1,7.18,clear sky,0,0
161,Carauari,BR,-4.8828,-66.8958,80.33,91,45,2.62,scattered clouds,0,0
162,Morros,BR,-9.4467,-46.3003,77.63,40,4,2.44,clear sky,0,0
163,Talnakh,RU,69.4865,88.3972,9.21,97,78,8.55,broken clouds,0,0
164,Balakhninskiy,RU,58.0106,114.2769,29.07,83,43,6.89,scattered clouds,0,0
165,Saint-Pierre,RE,-21.3393,55.4781,71.91,73,0,3.44,clear sky,0,0
166,Cockburn Town,TC,21.4612,-71.1419,79.47,77,0,6.35,clear sky,0,0
167,Urengoy,RU,65.9667,78.3667,33.37,98,100,12.88,overcast clouds,0,0
168,Pau,FR,43.4167,-0.5833,63.25,77,0,8.05,clear sky,0,0
169,Portland,US,45.5234,-122.6762,50.23,83,100,4.61,overcast clouds,0,0
170,Mount Isa,AU,-20.7333,139.5,67.77,68,75,5.75,light rain,0,0
171,Port Hardy,CA,50.6996,-127.4199,51.98,62,75,12.66,broken clouds,0,0
172,Saint Anthony,US,45.0205,-93.218,64.18,53,100,17.27,overcast clouds,0,0
173,Stans,CH,46.9585,8.366,56.93,95,75,3.44,broken clouds,0,0
174,Chuy,UY,-33.6971,-53.4616,60.33,76,4,3.87,clear sky,0,0
175,Vao,NC,-22.6667,167.4833,73.94,64,95,14.54,overcast clouds,0,0
176,Suntar,RU,62.1444,117.6319,32.5,84,61,11.03,broken clouds,0,0
177,Turayf,SA,31.6725,38.6637,64.65,29,0,4.61,clear sky,0,0
178,Biltine,TD,14.5333,20.9167,88.97,11,17,4.54,few clouds,0,0
179,Mahibadhoo,MV,3.7833,72.9667,84.33,78,100,18.54,overcast clouds,0,0
180,Norsup,VU,-16.0667,167.3833,79.18,64,4,14.25,clear sky,0,0
181,Ca Mau,VN,9.1769,105.15,80.37,83,96,8.32,overcast clouds,0,0
182,Gavrilovka Vtoraya,RU,52.877,42.7663,49.01,58,4,6.8,clear sky,0,0
183,Yumen,CN,40.2833,97.2,58.77,42,81,5.53,broken clouds,0,0
184,Palmer,US,42.1584,-72.3287,59.25,25,75,11.5,broken clouds,0,0
185,Doha,QA,25.2867,51.5333,84.18,30,0,23.02,clear sky,0,0
186,Tondano,ID,1.3038,124.9112,69.89,89,100,2.28,overcast clouds,0,0
187,Chokurdakh,RU,70.6333,147.9167,13.84,85,49,8.25,scattered clouds,0,0
188,Dingle,PH,10.9995,122.6711,77.97,87,100,8.23,overcast clouds,0,0
189,Tuktoyaktuk,CA,69.4541,-133.0374,39.2,70,75,12.66,broken clouds,0,0
190,Shiloh,US,38.5614,-89.8973,75.63,48,0,10.36,clear sky,0,0
191,Coihaique,CL,-45.5752,-72.0662,49.95,50,75,8.05,broken clouds,0,0
192,Quelimane,MZ,-17.8786,36.8883,73.35,88,0,4.61,clear sky,0,0
193,Victoria Point,AU,-27.5833,153.3,66.15,97,100,7.0,moderate rain,0,0
194,Hervey Bay,AU,-25.2986,152.8535,71.65,82,100,8.79,light rain,0,0
195,Praia Da Vitoria,PT,38.7333,-27.0667,64.76,77,20,3.47,few clouds,0,0
196,Amudat,UG,1.95,34.95,70.38,75,88,2.04,overcast clouds,0,0
197,Vozhega,RU,60.4725,40.2213,38.98,96,100,4.36,overcast clouds,0,0
198,Bar-Le-Duc,FR,48.75,5.1667,59.38,92,3,8.1,clear sky,0,0
199,Novikovo,RU,51.1537,37.8879,54.07,57,93,7.11,overcast clouds,0,0
200,Nago,JP,26.5881,127.9761,76.05,92,99,5.73,overcast clouds,0,0
201,Strelka,RU,58.0728,93.0344,26.83,71,30,4.65,scattered clouds,0,0
202,Jalpan,MX,21.2333,-99.4833,100.58,19,50,6.49,scattered clouds,0,0
203,Wuxue,CN,29.8506,115.5525,68.13,88,100,4.27,overcast clouds,0,0
204,San Patricio,US,28.017,-97.5169,94.15,51,2,20.71,clear sky,0,0
205,Binzhou,CN,37.3667,118.0167,44.17,89,100,2.86,overcast clouds,0,0
206,Qui Nhon,VN,13.7667,109.2333,77.23,88,100,5.23,overcast clouds,0,0
207,Mecca,SA,21.4267,39.8261,81.9,39,0,5.06,clear sky,0,0
208,Touros,BR,-5.1989,-35.4608,79.14,84,100,13.49,overcast clouds,0,0
209,Yanam,IN,16.7333,82.2167,80.92,81,72,6.42,broken clouds,0,0
210,Lompoc,US,34.6391,-120.4579,72.57,59,0,38.99,clear sky,0,0
211,Codrington,AU,-38.2667,141.9667,45.55,86,45,5.99,scattered clouds,0,0
212,Pevek,RU,69.7008,170.3133,22.57,87,100,12.15,overcast clouds,0,0
213,Lincoln,US,40.8,-96.667,71.56,81,100,1.99,overcast clouds,0,0
